model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
Open-Unmix,track_038,drums,5.3496,3.8291,7.375953674316406,6.515956878662109,7.246700286865234,
Open-Unmix,track_038,bass,10.2254,9.9723,6.0640950202941895,3.280380964279175,5.883765697479248,
Open-Unmix,track_038,other,5.9998,4.4532,7.301461219787598,6.6262383460998535,7.099095344543457,
Open-Unmix,track_039,vocals,6.2017,5.6937,6.790857315063477,5.478982448577881,6.313714981079102,
Open-Unmix,track_039,drums,3.9678,2.0256,7.3412957191467285,6.121406078338623,7.573267459869385,
Open-Unmix,track_039,bass,13.8953,13.8739,5.803139686584473,2.9116265773773193,5.160355567932129,
Open-Unmix,track_039,other,4.8074,3.1673,6.597115993499756,6.408344268798828,6.9046311378479,
Open-Unmix,track_040,vocals,7.9778,7.6915,6.869767189025879,4.847664833068848,6.029782295227051,
Open-Unmix,track_040,drums,7.7137,7.2312,6.2806620597839355,4.533469200134277,6.339986324310303,
Open-Unmix,track_040,bass,1.3419,-2.9764,5.610250473022461,3.1683459281921387,5.356812477111816,
Open-Unmix,track_040,other,5.5426,3.4418,6.869450092315674,6.713209629058838,7.05537748336792,
Open-Unmix,track_041,vocals,2.9478,2.0427,5.956007480621338,5.4464826583862305,5.413792133331299,
Open-Unmix,track_041,drums,6.1939,6.5593,7.076414108276367,5.887977600097656,7.056519508361816,
Open-Unmix,track_041,bass,4.4802,3.3270,5.664064407348633,3.2523422241210938,5.482376575469971,
Open-Unmix,track_041,other,0.2853,-8.5849,6.01421594619751,4.182090759277344,5.753856182098389,
Open-Unmix,track_042,vocals,2.9514,1.3485,6.212876319885254,6.269250869750977,5.968564033508301,
Open-Unmix,track_042,drums,7.0539,6.4060,7.288854122161865,6.016301155090332,7.370499134063721,
Open-Unmix,track_042,bass,5.7785,4.5496,4.777000904083252,3.700748920440674,5.001001834869385,
Open-Unmix,track_042,other,2.1186,-2.2486,5.722933292388916,5.511528491973877,6.084617614746094,
Open-Unmix,track_043,vocals,7.4572,6.7192,6.798867225646973,5.417727470397949,6.460951805114746,
Open-Unmix,track_043,drums,5.0480,3.6027,6.553039073944092,4.28594970703125,6.611300945281982,
Open-Unmix,track_043,bass,4.7078,3.0987,5.562531471252441,4.083743095397949,5.54473352432251,
Open-Unmix,track_043,other,3.9547,1.8766,6.921427249908447,6.876614093780518,6.850797653198242,
Open-Unmix,track_044,vocals,9.0739,9.3654,7.330260276794434,5.329794406890869,6.832779884338379,
Open-Unmix,track_044,drums,5.3969,4.3215,6.721487045288086,3.879757881164551,6.439077377319336,
Open-Unmix,track_044,bass,6.6859,6.4278,5.982704162597656,3.465188980102539,5.813259601593018,
Open-Unmix,track_044,other,5.4093,3.0252,7.123507499694824,6.361814022064209,6.95896053314209,
Open-Unmix,track_045,vocals,9.1341,8.8171,7.218063831329346,5.77562141418457,6.759776592254639,
Open-Unmix,track_045,drums,1.1234,-4.8541,6.384405136108398,3.3892996311187744,6.006766319274902,
Open-Unmix,track_045,bass,0.4407,-0.7256,4.305570125579834,3.5464723110198975,4.12092924118042,
Open-Unmix,track_045,other,1.3631,-1.7212,5.548281669616699,4.56100606918335,5.186108589172363,
Open-Unmix,track_046,vocals,3.9319,2.9252,6.4627814292907715,3.131868839263916,5.1816487312316895,
Open-Unmix,track_046,drums,3.1398,0.8395,6.2351202964782715,4.547623157501221,6.589054107666016,
